order_detail_id,order_id,product_id,quantity,price,created_at,updated_at
1,IINI91PP812,B08ZN4B121,7,1599.0,2022-01-30 00:00:00.000000,2022-01-30 00:00:00.000000
2,IINI91PP812,B0B94JPY2N,13,999.0,2022-01-30 00:00:00.000000,2022-01-30 00:00:00.000000
3,IINI91PP812,B07MP21WJD,9,299.0,2022-01-30 00:00:00.000000,2022-01-30 00:00:00.000000
4,IINI91PP812,B08G43CCLC,9,999.0,2022-01-30 00:00:00.000000,2022-01-30 00:00:00.000000
5,ONNA03MN757,B0B217Z5VK,5,3999.0,2021-01-03 00:00:00.000000,2021-01-03 00:00:00.000000
6,ONNA03MN757,B08RWCZ6SY,7,899.0,2021-01-03 00:00:00.000000,2021-01-03 00:00:00.000000
7,NPCC44AC852,B07QDSN9V6,11,1595.0,2022-09-08 00:00:00.000000,2022-09-08 00:00:00.000000
8,MMIM69AM147,B089BDBDGM,7,249.0,2021-06-26 00:00:00.000000,2021-06-26 00:00:00.000000
9,MCIA31MO690,B0883LQJ6B,8,1690.0,2021-07-09 00:00:00.000000,2021-07-09 00:00:00.000000
10,MCIA31MO690,B0718ZN31Q,2,4999.0,2021-07-09 00:00:00.000000,2021-07-09 00:00:00.000000
11,MCIA31MO690,B09DSXK8JX,12,19499.0,2021-07-09 00:00:00.000000,2021-07-09 00:00:00.000000
12,MCIA31MO690,B07WGPKTS4,4,19999.0,2021-07-09 00:00:00.000000,2021-07-09 00:00:00.000000
13,MCIA31MO690,B09GFPVD9Y,15,10999.0,2021-07-09 00:00:00.000000,2021-07-09 00:00:00.000000
14,MCIA31MO690,B09KPXTZXN,15,1999.0,2021-07-09 00:00:00.000000,2021-07-09 00:00:00.000000
15,MCIA31MO690,B00TI8E7BI,12,2695.0,2021-07-09 00:00:00.000000,2021-07-09 00:00:00.000000
16,IANC47AM423,B07PFJ5W31,1,495.0,2022-10-04 00:00:00.000000,2022-10-04 00:00:00.000000
17,IANC47AM423,B00KXULGJQ,6,5499.0,2022-10-04 00:00:00.000000,2022-10-04 00:00:00.000000
18,IANC47AM423,B003L62T7W,9,375.0,2022-10-04 00:00:00.000000,2022-10-04 00:00:00.000000
19,IANC47AM423,B06XGWRKYT,4,15999.0,2022-10-04 00:00:00.000000,2022-10-04 00:00:00.000000
20,IANC47AM423,B0832W3B7Q,9,3595.0,2022-10-04 00:00:00.000000,2022-10-04 00:00:00.000000
21,IANC47AM423,B08XMSKKMM,4,1999.0,2022-10-04 00:00:00.000000,2022-10-04 00:00:00.000000
22,NPIP33OI307,B07RZZ1QSW,3,799.0,2022-02-14 00:00:00.000000,2022-02-14 00:00:00.000000
23,NPIP33OI307,B0B8SSC5D9,5,1999.0,2022-02-14 00:00:00.000000,2022-02-14 00:00:00.000000
24,NPIP33OI307,B082LZGK39,2,299.0,2022-02-14 00:00:00.000000,2022-02-14 00:00:00.000000
25,NPIP33OI307,B07RZZ1QSW,7,799.0,2022-02-14 00:00:00.000000,2022-02-14 00:00:00.000000
26,NPIP33OI307,B08NCKT9FG,5,798.0,2022-02-14 00:00:00.000000,2022-02-14 00:00:00.000000
27,NPIP33OI307,B0BGPN4GGH,15,2400.0,2022-02-14 00:00:00.000000,2022-02-14 00:00:00.000000
28,AOCO44AC037,B0123P3PWE,7,1075.0,2022-08-03 00:00:00.000000,2022-08-03 00:00:00.000000
29,AOCO44AC037,B09MTLG4TP,1,999.0,2022-08-03 00:00:00.000000,2022-08-03 00:00:00.000000
30,AOCO44AC037,B079Y6JZC8,3,299.0,2022-08-03 00:00:00.000000,2022-08-03 00:00:00.000000
31,AOCO44AC037,B0B6BLTGTT,2,5999.0,2022-08-03 00:00:00.000000,2022-08-03 00:00:00.000000
32,AOCO44AC037,B0BDZWMGZ1,15,2990.0,2022-08-03 00:00:00.000000,2022-08-03 00:00:00.000000
33,APMI05CP558,B07M69276N,12,2499.0,2022-02-01 00:00:00.000000,2022-02-01 00:00:00.000000
34,APMI05CP558,B08235JZFB,12,1000.0,2022-02-01 00:00:00.000000,2022-02-01 00:00:00.000000
35,APMI05CP558,B00Y4ORQ46,3,795.0,2022-02-01 00:00:00.000000,2022-02-01 00:00:00.000000
36,POOA33NM414,B086199CWG,3,4799.0,2021-08-01 00:00:00.000000,2021-08-01 00:00:00.000000
37,POOA33NM414,B07WKBD37W,4,999.0,2021-08-01 00:00:00.000000,2021-08-01 00:00:00.000000
38,IMMM96AC528,B095244Q22,8,999.0,2021-04-08 00:00:00.000000,2021-04-08 00:00:00.000000
39,IMMM96AC528,B09N6TTHT6,3,99.0,2021-04-08 00:00:00.000000,2021-04-08 00:00:00.000000
40,IMMM96AC528,B07L8KNP5F,13,1399.0,2021-04-08 00:00:00.000000,2021-04-08 00:00:00.000000
41,AIAP53NA160,B0819HZPXL,13,549.0,2022-09-30 00:00:00.000000,2022-09-30 00:00:00.000000
42,AIAP53NA160,B09Q8WQ5QJ,10,499.0,2022-09-30 00:00:00.000000,2022-09-30 00:00:00.000000
43,AIAP53NA160,B08MWJTST6,6,1299.0,2022-09-30 00:00:00.000000,2022-09-30 00:00:00.000000
44,AIAP53NA160,B08D75R3Z1,4,1900.0,2022-09-30 00:00:00.000000,2022-09-30 00:00:00.000000
45,PMMC74AI218,B086394NY5,7,2490.0,2022-09-10 00:00:00.000000,2022-09-10 00:00:00.000000
46,PMMC74AI218,B0BHZCNC4P,6,3999.0,2022-09-10 00:00:00.000000,2022-09-10 00:00:00.000000
47,PMMC74AI218,B0BCVJ3PVP,11,1299.0,2022-09-10 00:00:00.000000,2022-09-10 00:00:00.000000
48,PMMC74AI218,B07S7DCJKS,7,499.0,2022-09-10 00:00:00.000000,2022-09-10 00:00:00.000000
49,PMMC74AI218,B0BCZCQTJX,10,3999.0,2022-09-10 00:00:00.000000,2022-09-10 00:00:00.000000
50,AAMI65AP544,B08D75R3Z1,10,1900.0,2022-02-04 00:00:00.000000,2022-02-04 00:00:00.000000
51,AAMI65AP544,B08MVXPTDG,4,4200.0,2022-02-04 00:00:00.000000,2022-02-04 00:00:00.000000
52,AAMI65AP544,B08CZHGHKH,10,1399.0,2022-02-04 00:00:00.000000,2022-02-04 00:00:00.000000
53,AAMI65AP544,B0756CLQWL,9,3999.0,2022-02-04 00:00:00.000000,2022-02-04 00:00:00.000000
54,AAMI65AP544,B0B3RS9DNF,2,9999.0,2022-02-04 00:00:00.000000,2022-02-04 00:00:00.000000
55,POCO45OC178,B01L6MT7E0,9,11995.0,2021-09-28 00:00:00.000000,2021-09-28 00:00:00.000000
56,PNPP59CM226,B07LFWP97N,4,1099.0,2021-03-10 00:00:00.000000,2021-03-10 00:00:00.000000
57,PNPP59CM226,B08TM71L54,6,4195.0,2021-03-10 00:00:00.000000,2021-03-10 00:00:00.000000
