order_id,customer_id,order_date,status,created_at,updated_at
IINI91PP812,697,2022-01-30 00:00:00.000000,Success,2022-01-30 00:00:00.000000,2022-01-31 00:00:00.000000
ONNA03MN757,172,2021-01-03 00:00:00.000000,Success,2021-01-03 00:00:00.000000,2021-01-04 00:00:00.000000
NPCC44AC852,824,2022-09-08 00:00:00.000000,Success,2022-09-08 00:00:00.000000,2022-09-09 00:00:00.000000
MMIM69AM147,947,2021-06-26 00:00:00.000000,Success,2021-06-26 00:00:00.000000,2021-06-27 00:00:00.000000
MCIA31MO690,336,2021-07-09 00:00:00.000000,Success,2021-07-09 00:00:00.000000,2021-07-10 00:00:00.000000
IANC47AM423,965,2022-10-04 00:00:00.000000,Canceled,2022-10-04 00:00:00.000000,2022-10-04 00:00:00.000000
NMCI31AN413,680,2021-03-09 00:00:00.000000,Success,2021-03-09 00:00:00.000000,2021-03-10 00:00:00.000000
NPIP33OI307,994,2022-02-14 00:00:00.000000,Success,2022-02-14 00:00:00.000000,2022-02-15 00:00:00.000000
AOCO44AC037,128,2022-08-03 00:00:00.000000,Success,2022-08-03 00:00:00.000000,2022-08-04 00:00:00.000000
AAPP73OP114,624,2021-11-01 00:00:00.000000,Success,2021-11-01 00:00:00.000000,2021-11-02 00:00:00.000000
APMI05CP558,537,2022-02-01 00:00:00.000000,Success,2022-02-01 00:00:00.000000,2022-02-02 00:00:00.000000
OOMN48CC152,926,2022-05-16 00:00:00.000000,Success,2022-05-16 00:00:00.000000,2022-05-17 00:00:00.000000
POOA33NM414,433,2021-08-01 00:00:00.000000,Success,2021-08-01 00:00:00.000000,2021-08-02 00:00:00.000000
CMCI13CI706,311,2022-10-05 00:00:00.000000,Success,2022-10-05 00:00:00.000000,2022-10-06 00:00:00.000000
IMMM96AC528,774,2021-04-08 00:00:00.000000,Success,2021-04-08 00:00:00.000000,2021-04-09 00:00:00.000000
AIAP53NA160,741,2022-09-30 00:00:00.000000,Success,2022-09-30 00:00:00.000000,2022-10-01 00:00:00.000000
PMMC74AI218,658,2022-09-10 00:00:00.000000,Success,2022-09-10 00:00:00.000000,2022-09-11 00:00:00.000000
AAMI65AP544,963,2022-02-04 00:00:00.000000,Success,2022-02-04 00:00:00.000000,2022-02-05 00:00:00.000000
